1519656085.5217497, [ 27469.00935583  14860.00321524   5876.01197205]
1519656102.9751852, [ 27469.00446921  14859.99862997   5875.98502502]
1519656114.7495108, [ 27469.00115805  14860.00030844   5876.00014648]
1519656125.2594726, [ 27468.99865942  14859.99477713   5875.97594604]
1519656135.7564, [ 27468.99920493  14860.00604575   5875.93027649]
1519656146.9682293, [ 27469.00638037  14860.00946371   5875.92122803]
1519656157.3508523, [ 27469.00757819  14859.9902529    5875.90101013]
1519656220.5560107, [ 27469.0037673   14860.00072806   5875.7882782 ]
1519656231.354741, [ 27469.00353842  14859.99765341   5875.80051575]
1519656241.5448518, [ 27469.00647192  14859.9898638    5875.77570496]
1519656253.3673058, [ 27469.00629263  14859.99882071   5875.75760803]
1519656276.5479784, [ 27469.00017004  14859.98844473   5875.74434814]
1519656290.3537087, [ 27469.00383215  14860.00220816   5875.71109924]
1519656302.9271605, [ 27469.00710516  14859.99605124   5875.67510376]
1519656323.4998946, [ 27469.00654822  14860.00125449   5875.75139771]
1519656352.3596764, [ 27469.00139838  14859.98953574   5875.7056366 ]
1519656464.0217555, [ 27469.00984412  14859.98891013   5875.58381042]
1519656475.6918035, [ 27468.99995642  14859.98868124   5875.59168396]
1519656492.7692382, [ 27468.99350577  14860.0096163    5875.55339966]
1519656672.020641, [ 27469.01517706  14859.9915499    5875.50426636]
1519656692.1130972, [ 27468.99406271  14859.98458426   5875.4527832 ]
