1519657914.4976356, [ 31999.00260764  12174.00018259   6636.00480988]
1519657918.3047647, [ 31999.00536948  12174.00151773   6635.98382904]
1519657921.136298, [ 31998.99879294  12174.00473734   6635.95544769]
1519657929.3431323, [ 31998.98979788  12174.00050302   6635.94427826]
1519657932.126538, [ 31999.02009039  12173.99932809   6635.92157318]
1519657934.5580068, [ 31999.00202399  12174.00320383   6635.92766144]
1519657938.734117, [ 31999.00746756  12174.00303598   6635.91270782]
1519657941.7411175, [ 31999.00700598  12174.01029916   6635.93400909]
1519657944.3801384, [ 31998.98932867  12174.00131937   6635.92096283]
1519657947.2437572, [ 31999.00483923  12174.01000925   6635.8923526 ]
1519657949.8837812, [ 31998.99612265  12173.99906107   6635.90471222]
1519657952.481693, [ 31999.00554114  12174.0131373    6635.91376068]
1519657955.114698, [ 31999.00256186  12173.99838205   6635.90785553]
1519657957.690551, [ 31999.00075369  12174.00360056   6635.93024017]
1519657960.330575, [ 31999.00393896  12174.01174112   6635.91696503]
1519657962.8733401, [ 31999.01337271  12174.00033517   6635.94145538]
1519657965.5133643, [ 31998.99612265  12173.9955134    6635.95047333]
1519657978.822774, [ 31999.01398688  12174.0080256    6635.91890289]
1519657992.3718207, [ 31999.01017981  12174.01071115   6635.94644501]
1519658022.2563298, [ 31998.99888831  12174.00717874   6635.94595673]
1519658069.8810356, [ 31998.99643546  12174.00840707   6636.02795746]
1519658170.967979, [ 31999.00502615  12173.99802347   6636.16136505]
1519658181.4949865, [ 31999.01096945  12174.00622507   6636.17927887]
1519658264.4732537, [ 31999.0039733   12174.00907083   6636.25447418]
1519658328.1276073, [ 31999.00589209  12173.99994608   6636.31863739]
1519658338.8461235, [ 31999.00140219  12174.00920053   6636.32025482]
1519658429.6467004, [ 31999.00940161  12173.99529977   6636.40658905]
1519658440.1255794, [ 31998.99107199  12174.00381418   6636.41847565]
1519658561.6905148, [ 31999.00306158  12174.00025888   6636.53081085]
1519658573.127944, [ 31999.00007468  12174.00756021   6636.54845001]
