1519663824.6055887, [ 30998.99037714  12700.00465775   7821.63912506]
1519663841.3220632, [ 30998.96547479  12700.00044632   7821.61529083]
1519663859.015136, [ 30998.99188013  12699.99773026   7821.66318817]
1519663912.478376, [ 30953.99690122  12655.           7821.43497772]
1519663923.8365946, [ 30954.00264139  12654.99745178   7821.4589035 ]
1519663934.907048, [ 30953.99076385  12654.99504089   7821.47539825]
1519663961.2060163, [ 31043.99320764  12745.00836182   7822.1489975 ]
1519663972.452939, [ 31043.99152917  12744.99455643   7822.15584869]
1519663984.5140276, [ 31043.99307794  12744.99624252   7822.17196198]
1519664032.8746922, [ 30953.99950189  12654.99224854   7821.58114166]
1519664047.1927855, [ 30953.9988019   12654.99864197   7821.5857193 ]
1519664057.8310885, [ 30953.99404688  12654.99429321   7821.5761673 ]
1519664081.3636978, [ 31043.99073572  12744.99082947   7822.25139923]
1519664091.889702, [ 31043.98924799  12744.99918747   7822.24892731]
1519664106.831455, [ 31043.99263544  12745.0067215    7822.27410431]
