[Graph\ Configuration]
Version=1
NrCurves=2
FFTNrCurves=0
Title=
XAxisLabel=Time / s
YAxisLabel=Current Position of axis1
Y2AxisLabel=Current Position of axis3
SameScaleXY=0
XAxisLinear=1
YAxisLinear=1
FFT=0
[Graph\ Configuration/Curve1]
CustomName=Current Position of axis1
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Current Position of axis1
[Graph\ Configuration/Curve1/style]
ColorRed=33
ColorGreen=67
ColorBlue=163
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=0
[Graph\ Configuration/Curve2]
CustomName=Target Position of axis1
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Target Position of axis1
[Graph\ Configuration/Curve2/style]
ColorRed=255
ColorGreen=154
ColorBlue=79
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=0
[GCS_ARRAY Current Position of axis1]
# VERSION = 1
# TYPE = 1
# SEPARATOR = 9
# DIM = 2
# SAMPLE_TIME = 5e-005
# NDATA = 2000
#
# NAME0 = Current Position of axis1
# NAME1 = Target Position of axis1
#
# END_HEADER
-0.005732	0
-0.006006	0.000247
-0.005049	0.000986
-0.002369	0.00222
0.000549	0.003946
0.003448	0.006166
0.004972	0.008881
0.005222	0.012091
0.006096	0.015789
0.006325	0.019982
0.007381	0.024673
0.008022	0.02985
0.009478	0.035527
0.010395	0.041693
0.011805	0.048351
0.011232	0.055507
0.00972	0.063151
0.008297	0.07129
0.00622	0.079921
0.004097	0.089046
0.00267	0.098664
0.001202	0.108773
-0.000147	0.119376
-0.000536	0.130469
0.000549	0.142056
-0.000288	0.154132
-0.000278	0.166702
-0.000435	0.179768
-0.001181	0.193319
-0.001707	0.207365
-0.001226	0.221902
-0.000715	0.236928
-0.000366	0.25245
-0.000473	0.268459
-0.001066	0.284958
-0.003222	0.301951
-0.004381	0.319433
-0.004944	0.337407
-0.00428	0.35587
-0.004332	0.374824
-0.003504	0.394267
-0.002281	0.414199
-0.000246	0.434619
0.000563	0.455528
-0.001148	0.476927
-0.000441	0.498813
-0.000301	0.521195
0.000406	0.544059
0.000854	0.567412
0.001307	0.591254
0.001171	0.615579
0.001083	0.640398
0.000338	0.6657
0.000603	0.691491
0.001413	0.717768
0.002337	0.744534
0.003845	0.771785
0.005287	0.799519
0.007172	0.827736
0.008995	0.856447
0.009947	0.885636
0.010113	0.915313
0.010145	0.945473
0.010843	0.976115
0.013958	1.007247
0.01679	1.038858
0.018595	1.070952
0.019516	1.103532
0.021881	1.136592
0.023024	1.170135
0.025599	1.20416
0.027077	1.238668
0.02825	1.273656
0.028387	1.309124
0.026541	1.345074
0.026381	1.381505
0.025671	1.418412
0.02466	1.455799
0.023064	1.493669
