[Graph\ Configuration]
Version=1
NrCurves=3
FFTNrCurves=0
Title=Record Channels
XAxisLabel=Time [s]
YAxisLabel=Current Position of axis1
Y2AxisLabel=Physical units
SameScaleXY=0
XAxisLinear=1
YAxisLinear=1
FFT=0
[Graph\ Configuration/Curve1]
CustomName=Current Position of axis1
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Current Position of axis1
[Graph\ Configuration/Curve1/style]
ColorRed=33
ColorGreen=67
ColorBlue=163
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=1
[Graph\ Configuration/Curve2]
CustomName=Target Position of axis1
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Target Position of axis1
[Graph\ Configuration/Curve2/style]
ColorRed=255
ColorGreen=154
ColorBlue=79
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=1
[Graph\ Configuration/Curve3]
CustomName=Open Loop Control of axis4
XSliceArray=Current Position of axis1
XSliceName=Time
YSliceArray=Current Position of axis1
YSliceName=Open Loop Control of axis4
[Graph\ Configuration/Curve3/style]
ColorRed=226
ColorGreen=0
ColorBlue=121
SolidPoint=1
LineType=100
PointSymbol=0
Width=2
Shown=1
Identify=1
Y2Axis=0
[GCS_ARRAY Current Position of axis1]
# VERSION = 1
# TYPE = 1
# SEPARATOR = 9
# DIM = 3
# SAMPLE_TIME = 0.0005
# NDATA = 7917
#
# NAME0 = Current Position of axis1
# NAME1 = Target Position of axis1
# NAME2 = Open Loop Control of axis4
#
# END_HEADER
2.502394	2.5	0
2.490377	2.519	0.002
2.494238	2.538	0.004
2.492765	2.557	0.006
2.500847	2.576	0.008
2.498341	2.594	0.009
2.502037	2.613	0.011
2.499237	2.632	0.013
2.503429	2.651	0.015
2.509468	2.67	0.017
2.509409	2.689	0.019
2.509462	2.708	0.021
2.515289	2.727	0.023
2.520586	2.746	0.025
2.521286	2.765	0.027
2.534489	2.784	0.028
2.546787	2.803	0.03
2.534727	2.821	0.032
2.540796	2.84	0.034
2.550043	2.859	0.036
2.550976	2.878	0.038
2.563206	2.897	0.04
2.568825	2.916	0.042
2.581755	2.935	0.044
2.584404	2.954	0.045
2.58873	2.973	0.047
2.601435	2.992	0.049
2.616747	3.011	0.051
2.61767	3.03	0.053
2.636778	3.049	0.055
2.639565	3.068	0.057
2.653755	3.087	0.059
2.663372	3.106	0.061
2.683079	3.125	0.063
2.699247	3.144	0.064
2.712322	3.163	0.066
2.707008	3.182	0.068
2.719494	3.201	0.07
2.733112	3.22	0.072
2.761976	3.239	0.074
2.767803	3.258	0.076
2.779264	3.277	0.078
2.791868	3.296	0.08
2.807894	3.315	0.082
2.824528	3.334	0.083
2.839365	3.353	0.085
2.852001	3.372	0.087
2.868158	3.391	0.089
2.868931	3.41	0.091
2.886955	3.429	0.093
2.903975	3.449	0.095
2.932631	3.468	0.097
2.944769	3.487	0.099
2.94384	3.506	0.1
2.973038	3.525	0.102
2.984041	3.544	0.104
3.001307	3.563	0.106
3.017891	3.582	0.108
3.029795	3.601	0.11
3.055941	3.62	0.112
3.070101	3.639	0.114
3.07991	3.658	0.116
3.093302	3.678	0.118
3.114046	3.697	0.119
3.144018	3.716	0.121
3.157839	3.735	0.123
3.167696	3.754	0.125
3.186163	3.773	0.127
3.191919	3.792	0.129
3.211372	3.811	0.131
3.240454	3.83	0.133
3.265471	3.85	0.135
3.292011	3.869	0.136
3.292519	3.888	0.138
3.32539	3.907	0.14
3.329977	3.926	0.142
3.341297	3.945	0.144
3.362587	3.964	0.146
3.393713	3.984	0.148
3.392841	4.003	0.15
3.413635	4.022	0.152
3.438969	4.041	0.154
